analysis,dataset,threshold_policy,families,tier,regime,method,tau,delta,weighting,n_families,n,n_present,n_absent,selected,correct,wrong,deferred,failures,present_selected,absent_selected,top1_correct,weighted_n,weighted_n_present,weighted_n_absent,weighted_selected,weighted_correct,weighted_wrong,weighted_deferred,weighted_failures,weighted_present_selected,weighted_absent_selected,weighted_top1_correct,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present,correct_yield_ci95,accepted_risk_ci95,absent_false_accept_ci95,present_coverage_ci95,top1_present_ci95
corrective reanalysis after test inspection,primary_calibration,original_thresholds,all,hard,all,S2,0.787984976280714,0.0,family,7,56,28,28,40,9,31,16,0,20,20,12,7.0,3.5,3.5,5.175,1.2416666666666667,3.933333333333333,1.825,0.0,2.5749999999999997,2.6,1.5666666666666667,0.7392857142857142,0.7357142857142857,0.7600644122383252,0.3547619047619048,0.7428571428571429,0.0,0.44761904761904764,"[0.2119047619047619, 0.4976190476190476]","[0.6496350364963503, 0.8633093525179857]","[0.5380952380952381, 0.9047619047619048]","[0.5785714285714285, 0.8904761904761905]","[0.2619047619047619, 0.6285714285714287]"
corrective reanalysis after test inspection,primary_calibration,original_thresholds,all,all,all,U0,,,family,7,112,56,56,112,26,86,0,0,56,56,26,7.0,3.5,3.5,7.0,1.7125,5.2875,0.0,0.0,3.5,3.5,1.7125,1.0,1.0,0.7553571428571428,0.48928571428571427,1.0,0.0,0.48928571428571427,"[0.28095238095238095, 0.6869047619047619]","[0.656547619047619, 0.8595238095238095]","[1.0, 1.0]","[1.0, 1.0]","[0.28095238095238095, 0.6869047619047619]"
corrective reanalysis after test inspection,primary_calibration,original_thresholds,all,easy,all,U0,,,family,7,56,28,28,56,14,42,0,0,28,28,14,7.0,3.5,3.5,7.0,1.8583333333333334,5.141666666666667,0.0,0.0,3.5,3.5,1.8583333333333334,1.0,1.0,0.7345238095238095,0.530952380952381,1.0,0.0,0.530952380952381,"[0.2857142857142857, 0.7642857142857142]","[0.6178571428571429, 0.8571428571428571]","[1.0, 1.0]","[1.0, 1.0]","[0.2857142857142857, 0.7642857142857142]"
corrective reanalysis after test inspection,primary_calibration,original_thresholds,all,hard,all,U0,,,family,7,56,28,28,56,12,44,0,0,28,28,12,7.0,3.5,3.5,7.0,1.5666666666666667,5.433333333333334,0.0,0.0,3.5,3.5,1.5666666666666667,1.0,1.0,0.7761904761904762,0.44761904761904764,1.0,0.0,0.44761904761904764,"[0.2619047619047619, 0.6285714285714287]","[0.6857142857142858, 0.869047619047619]","[1.0, 1.0]","[1.0, 1.0]","[0.2619047619047619, 0.6285714285714287]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,all,all,B0,,,family,7,112,56,56,112,20,92,0,0,56,56,20,7.0,3.5,3.5,7.0,1.2791666666666666,5.720833333333333,0.0,0.0,3.5,3.5,1.2791666666666666,1.0,1.0,0.8172619047619047,0.36547619047619045,1.0,0.0,0.36547619047619045,"[0.14285714285714285, 0.613095238095238]","[0.694047619047619, 0.9285714285714286]","[1.0, 1.0]","[1.0, 1.0]","[0.14285714285714285, 0.613095238095238]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,easy,all,B0,,,family,7,56,28,28,56,12,44,0,0,28,28,12,7.0,3.5,3.5,7.0,1.525,5.475,0.0,0.0,3.5,3.5,1.525,1.0,1.0,0.7821428571428571,0.43571428571428567,1.0,0.0,0.43571428571428567,"[0.14285714285714285, 0.7357142857142858]","[0.6357142857142858, 0.9285714285714286]","[1.0, 1.0]","[1.0, 1.0]","[0.14285714285714285, 0.7357142857142858]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,hard,all,B0,,,family,7,56,28,28,56,8,48,0,0,28,28,8,7.0,3.5,3.5,7.0,1.0333333333333332,5.966666666666667,0.0,0.0,3.5,3.5,1.0333333333333332,1.0,1.0,0.8523809523809524,0.2952380952380952,1.0,0.0,0.2952380952380952,"[0.09285714285714286, 0.5238095238095238]","[0.7380952380952381, 0.9535714285714285]","[1.0, 1.0]","[1.0, 1.0]","[0.09285714285714286, 0.5238095238095238]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,all,all,B1,,,family,7,112,56,56,0,0,0,112,0,0,0,,7.0,3.5,3.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,"[0.0, 0.0]","[None, None]","[0.0, 0.0]","[0.0, 0.0]","[None, None]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,easy,all,B1,,,family,7,56,28,28,0,0,0,56,0,0,0,,7.0,3.5,3.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,"[0.0, 0.0]","[None, None]","[0.0, 0.0]","[0.0, 0.0]","[None, None]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,hard,all,B1,,,family,7,56,28,28,0,0,0,56,0,0,0,,7.0,3.5,3.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,"[0.0, 0.0]","[None, None]","[0.0, 0.0]","[0.0, 0.0]","[None, None]"
