analysis,dataset,threshold_policy,families,tier,regime,method,tau,delta,weighting,n_families,n,n_present,n_absent,selected,correct,wrong,deferred,failures,present_selected,absent_selected,top1_correct,weighted_n,weighted_n_present,weighted_n_absent,weighted_selected,weighted_correct,weighted_wrong,weighted_deferred,weighted_failures,weighted_present_selected,weighted_absent_selected,weighted_top1_correct,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present,correct_yield_ci95,accepted_risk_ci95,absent_false_accept_ci95,present_coverage_ci95,top1_present_ci95
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:gear,easy,all,B0,,,family,1,6,3,3,6,1,5,0,0,3,3,1,1.0,0.5,0.5,1.0,0.16666666666666666,0.8333333333333333,0.0,0.0,0.5,0.5,0.16666666666666666,1.0,1.0,0.8333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:gear,hard,all,B0,,,family,1,6,3,3,6,0,6,0,0,3,3,0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:gear,easy,absent_easy,B0,,,family,1,3,0,3,3,0,3,0,0,0,3,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:gear,hard,absent_hard,B0,,,family,1,3,0,3,3,0,3,0,0,0,3,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:gear,easy,present_easy,B0,,,family,1,3,3,0,3,1,2,0,0,3,0,1,1.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,,0.0,0.3333333333333333,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:gear,hard,present_hard,B0,,,family,1,3,3,0,3,0,3,0,0,3,0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:notched,all,all,B0,,,family,1,16,8,8,16,1,15,0,0,8,8,1,1.0,0.5,0.5,1.0,0.0625,0.9375,0.0,0.0,0.5,0.5,0.0625,1.0,1.0,0.9375,0.125,1.0,0.0,0.125,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:notched,easy,all,B0,,,family,1,8,4,4,8,1,7,0,0,4,4,1,1.0,0.5,0.5,1.0,0.125,0.875,0.0,0.0,0.5,0.5,0.125,1.0,1.0,0.875,0.25,1.0,0.0,0.25,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:notched,hard,all,B0,,,family,1,8,4,4,8,0,8,0,0,4,4,0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:notched,easy,absent_easy,B0,,,family,1,4,0,4,4,0,4,0,0,0,4,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
